so_thich_chinh,mon_hoc_yeu_thich,ky_nang_noi_bat,tinh_cach,moi_truong_lam_viec_mong_muon,muc_tieu_nghe_nghiep,mo_ta_ban_than,dinh_huong_tuong_lai,nganh_phu_hop
Nghe thuat,Hoa,Ky luat,Huong ngoai,Van phong,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Thiet ke noi that, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Thiet ke noi that.,Thiet ke noi that
Phap ly,Tin hoc,Kien nhan,Huong noi,Benh vien,Khoi nghiep,"Em rat quan tam den Em thich lam viec voi Ky thuat xet nghiem y hoc, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat xet nghiem y hoc.,Ky thuat xet nghiem y hoc
Cong nghe,Su,Tu hoc,Nang dong,Benh vien,Khoi nghiep,"Ban than em yeu thich Em thich lam viec voi Tai chinh ngan hang, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Tai chinh ngan hang.,Tai chinh ngan hang
Y te,Toan,Kien nhan,Kien tri,Linh hoat,On dinh,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Su pham Lich su, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Su pham Lich su.,Su pham Lich su
Cong nghe,Anh,Giao tiep,Ban linh,Linh hoat,Khoi nghiep,"Em rat quan tam den Em quan tam lam viec voi Su pham Toan hoc, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Toan hoc.,Su pham Toan hoc
Giao duc,Toan,Phan tich,Ti mi,Truong hoc,Thu nhap cao,"Em thuong tim hieu them ve Em quan tam lam viec voi Duoc hoc, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Duoc hoc.,Duoc hoc
Nghe thuat,Hoa,Ky luat,Kien nhan,Benh vien,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Dinh duong, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Phap ly,Anh,Phan tich,Nang dong,Van phong,On dinh,"Em thuong tim hieu them ve Em quan tam lam viec voi Kinh doanh quoc te, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Giao duc,Su,Lanh dao,Ban linh,Van phong,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Su pham Tin hoc, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Tin hoc.,Su pham Tin hoc
Phap ly,Van,Phan tich,Ban linh,Van phong,Cong hien xa hoi,"Em rat quan tam den luat phap ly hop dong tranh tung phap che doanh nghiep, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon lam luat su hoac chuyen vien phap che.,Luat
Du lich,Van,Thuyet trinh,Ban linh,Linh hoat,On dinh,"Gan day em dau tu thoi gian cho huong dan du lich ngoai ngu gioi thieu dia diem, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Ngon ngu,Van,Kien nhan,Nang dong,Truong hoc,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Su pham Hoa hoc, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Hoa hoc.,Su pham Hoa hoc
Ngon ngu,Su,Ky luat,Huong noi,Ky thuat,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Khoi nghiep cung nhu doi moi sang tao, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Khoi nghiep va doi moi sang tao.",Khoi nghiep va doi moi sang tao
Ngon ngu,Su,Kien nhan,Nang dong,Van phong,Theo dam me,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Duoc hoc, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Duoc hoc.,Duoc hoc
Ngon ngu,Van,Tu duy khong gian,Huong ngoai,Truong hoc,On dinh,"Em rat quan tam den Em thich lam viec voi Quan tri khach san, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Quan tri khach san.,Quan tri khach san
Phap ly,Su,Sang tao,Kien tri,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Quan tri khach san, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Quan tri khach san.,Quan tri khach san
Phap ly,Van,Can than,Kien tri,Ky thuat,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Cong nghe thuc pham, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Cong nghe thuc pham.,Cong nghe thuc pham
Ngon ngu,Toan,Ky luat,Ban linh,Truong hoc,Khoi nghiep,"Em thuong tim hieu them ve Em thich lam viec voi Ke toan, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Ke toan.,Ke toan
Phap ly,Ly,Can than,Ti mi,Van phong,Theo dam me,"Ban than em yeu thich Em thich lam viec voi Su pham Vat ly, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Su pham Vat ly.,Su pham Vat ly
Y te,Ly,Sang tao,Kien tri,Benh vien,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Vat ly tri lieu va phuc hoi chuc nang, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.",Vat ly tri lieu va phuc hoi chuc nang
Cong nghe,Su,Giai quyet van de,Kien nhan,Sang tao,Khoi nghiep,"Ban than em yeu thich van hanh xuong san xuat va toi uu quy trinh, de tao gia tri thuc te cho cong viec.",Em dinh huong se lam ky su co khi che tao va bao tri.,Ky thuat co khi
Kinh doanh,Hoa,Can than,Ban linh,Truong hoc,Khoi nghiep,"Em thuong tim hieu them ve Em quan tam lam viec voi Cong nghe thuc pham, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Cong nghe thuc pham.,Cong nghe thuc pham
Ngon ngu,Sinh,Lanh dao,Kien nhan,Van phong,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Vat ly tri lieu va phuc hoi chuc nang, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.,Vat ly tri lieu va phuc hoi chuc nang
Phap ly,Hoa,Sang tao,Huong ngoai,Benh vien,Cong hien xa hoi,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Ngon ngu Trung, va muon phat trien lau dai.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ngon ngu Trung.",Ngon ngu Trung
Nghe thuat,Van,Sang tao,Kien tri,Linh hoat,Thu nhap cao,"Em thuong tim hieu them ve Em quan tam lam viec voi Kinh doanh quoc te, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Kinh doanh quoc te.,Kinh doanh quoc te
Nghe thuat,Anh,Sang tao,Nang dong,Ky thuat,Cong hien xa hoi,"Em thuong tim hieu them ve Em quan tam lam viec voi Su pham Lich su, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Lich su.,Su pham Lich su
Y te,Sinh,Kien nhan,Nang dong,Linh hoat,Theo dam me,"Em rat quan tam den theo doi sinh hieu va quan ly ho so benh an, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la lam dieu duong benh vien hoac y te cong dong.,Dieu duong
Cong nghe,Tin hoc,Lanh dao,Huong noi,Ky thuat,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Tai chinh ngan hang, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Tai chinh ngan hang.,Tai chinh ngan hang
Cong nghe,Ly,Giai quyet van de,Kien tri,Van phong,Theo dam me,"Ban than em yeu thich Python pandas big data va kho du lieu, va muon phat trien lau dai. Em cung quan tam den tu dong hoa kiem thu va toi uu hieu nang he thong.",Muc tieu nghe nghiep cua em la lam data analyst hoac data scientist trong doanh nghiep.,Khoa hoc du lieu
Nghe thuat,Van,Tu duy khong gian,Huong noi,Ky thuat,On dinh,"Gan day em dau tu thoi gian cho noi that cong cong anh sang tu nhien my thuat, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon lam kien truc su thiet ke cong trinh.,Kien truc
Nghe thuat,Anh,Sang tao,Ban linh,Sang tao,Cong hien xa hoi,"Em thuong tim hieu them ve ket cau xay dung 3D mo hinh vat lieu xanh, nham nang cao co hoi nghe nghiep sau nay. Em cung quan tam den minh hoa motion graphic video ngan.",Muc tieu nghe nghiep cua em la lam kien truc su thiet ke cong trinh.,Kien truc
Nghe thuat,Tin hoc,Can than,Kien tri,Benh vien,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Logistics va quan ly chuoi cung ung, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Logistics va quan ly chuoi cung ung.",Logistics va quan ly chuoi cung ung
Giao duc,Hoa,Kien nhan,Kien tri,Benh vien,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Quan he cong chung, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quan he cong chung.",Quan he cong chung
Nghe thuat,Anh,Ky luat,Ban linh,Van phong,Theo dam me,"Ban than em yeu thich Em quan tam lam viec voi My thuat, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc My thuat.",My thuat
Nghe thuat,Su,Giao tiep,Ti mi,Linh hoat,Thu nhap cao,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Bao chi, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Bao chi.,Bao chi
Y te,Hoa,Phan tich,Nang dong,Ky thuat,Khoi nghiep,"Em thuong tim hieu them ve Em thich lam viec voi Ky thuat phan mem, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat phan mem.,Ky thuat phan mem
Giao duc,Sinh,Sang tao,Huong noi,Linh hoat,Thu nhap cao,"Gan day em dau tu thoi gian cho Em quan tam lam viec voi Thiet ke game, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Thiet ke game.",Thiet ke game
Phap ly,Toan,Sang tao,Kien tri,Benh vien,Theo dam me,"Em rat quan tam den Em thich lam viec voi Tu dong hoa, de tao gia tri thuc te cho cong viec.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Tu dong hoa.,Tu dong hoa
Nghe thuat,Van,Sang tao,Ban linh,Van phong,Khoi nghiep,"Em rat quan tam den xay dung bo nhan dien thuong hieu da nen tang, de ket hop dam me voi nang luc cua minh. Em cung quan tam den noi that cong cong anh sang tu nhien my thuat.","Trong 3-5 nam toi, em muon lam designer chuyen nghiep agency hoac freelance.",Thiet ke do hoa
Phap ly,Van,Giao tiep,Ban linh,Truong hoc,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Y te cong cong, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Y te cong cong.,Y te cong cong
Cong nghe,Tin hoc,Giai quyet van de,Kien tri,Ky thuat,On dinh,"Em rat quan tam den machine learning mo hinh du doan va bao cao kinh doanh, vi em thay linh vuc nay phu hop tinh cach. Em cung quan tam den lap trinh phan mem web API backend bao mat may tinh.",Duong dai em mong muon lam data analyst hoac data scientist trong doanh nghiep.,Khoa hoc du lieu
Nghe thuat,Ly,Tu duy khong gian,Huong noi,Van phong,Thu nhap cao,"Ban than em yeu thich xay dung bo nhan dien thuong hieu da nen tang, va muon phat trien lau dai. Em cung quan tam den kien truc thiet ke cong trinh quy hoach khong gian.",Muc tieu nghe nghiep cua em la lam designer chuyen nghiep agency hoac freelance.,Thiet ke do hoa
Kinh doanh,Sinh,Lanh dao,Kien nhan,Van phong,Cong hien xa hoi,"Em rat quan tam den Em quan tam lam viec voi Su pham Tin hoc, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Su pham Tin hoc.,Su pham Tin hoc
Kinh doanh,Van,Giao tiep,Nang dong,Van phong,Thu nhap cao,"Em rat quan tam den marketing digital quang cao thuong hieu social media, de ket hop dam me voi nang luc cua minh. Em cung quan tam den san xuat noi dung podcast video thoi su.",Duong dai em mong muon lam chuyen vien marketing digital va brand.,Marketing
Du lich,Hoa,Phan tich,Nang dong,Van phong,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Y hoc co truyen, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Y hoc co truyen.",Y hoc co truyen
Ngon ngu,Sinh,Ky luat,Kien tri,Benh vien,Theo dam me,"Ban than em yeu thich Em thich lam viec voi He thong thong tin, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc He thong thong tin.,He thong thong tin
Phap ly,Su,Lap luan,Huong ngoai,Ky thuat,Theo dam me,"Em thuong tim hieu them ve luat phap ly hop dong tranh tung phap che doanh nghiep, nham nang cao co hoi nghe nghiep sau nay.","Trong 3-5 nam toi, em muon lam luat su hoac chuyen vien phap che.",Luat
Phap ly,Ly,Can than,Ti mi,Linh hoat,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Nghe thuat so, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Nghe thuat so.,Nghe thuat so
Y te,Sinh,Kien nhan,Huong ngoai,Truong hoc,Thu nhap cao,"Ban than em yeu thich Em thich lam viec voi Rang ham mat, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Rang ham mat.,Rang ham mat
Nghe thuat,Sinh,Phan tich,Ban linh,Van phong,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Dia ly, de ket hop dam me voi nang luc cua minh.",Em dinh huong se Em muon lam viec trong linh vuc Su pham Dia ly.,Su pham Dia ly
Cong nghe,Su,Lanh dao,Kien nhan,Truong hoc,On dinh,"Em rat quan tam den Em thich lam viec voi Quan ly benh vien, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Nghe thuat,Sinh,Can than,Huong noi,Linh hoat,Thu nhap cao,"Em thuong tim hieu them ve sinh hoc suc khoe ho tro bac si va gia dinh, de ket hop dam me voi nang luc cua minh.",Em dinh huong se lam dieu duong benh vien hoac y te cong dong.,Dieu duong
Y te,Hoa,Sang tao,Huong noi,Van phong,On dinh,"Ban than em yeu thich Em thich lam viec voi Thiet ke thoi trang, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Thiet ke thoi trang.,Thiet ke thoi trang
Ngon ngu,Sinh,Phan tich,Kien tri,Truong hoc,Khoi nghiep,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ky thuat xay dung, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Ky thuat xay dung.,Ky thuat xay dung
Phap ly,Toan,Sang tao,Huong noi,Van phong,Khoi nghiep,"Ban than em yeu thich nghien cuu van ban quy dinh bao ve quyen loi khach hang, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la lam luat su hoac chuyen vien phap che.,Luat
Nghe thuat,Toan,Tu duy khong gian,Ti mi,Ky thuat,Theo dam me,"Em rat quan tam den noi that cong cong anh sang tu nhien my thuat, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se lam kien truc su thiet ke cong trinh.,Kien truc
Giao duc,Hoa,Ky luat,Nang dong,Truong hoc,Khoi nghiep,"Em rat quan tam den Em quan tam lam viec voi Ky thuat xay dung, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat xay dung.,Ky thuat xay dung
Nghe thuat,Ly,Sang tao,Ti mi,Van phong,Khoi nghiep,"Em thuong tim hieu them ve ve mat bang cung nhu y tuong kien truc ben vung, de tao gia tri thuc te cho cong viec. Em cung quan tam den UI UX giao dien sang tao my thuat so.",Em dinh huong se lam kien truc su thiet ke cong trinh.,Kien truc
Cong nghe,Sinh,Phan tich,Huong ngoai,Van phong,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Thiet ke thoi trang, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Thiet ke thoi trang.",Thiet ke thoi trang
Giao duc,Toan,Giao tiep,Ban linh,Benh vien,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Tam ly hoc, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Tam ly hoc.,Tam ly hoc
Ngon ngu,Van,Sang tao,Ban linh,Linh hoat,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Nghe thuat so, va muon phat trien lau dai.",Duong dai em mong muon Em muon lam viec trong linh vuc Nghe thuat so.,Nghe thuat so
Cong nghe,Toan,Lanh dao,Nang dong,Linh hoat,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Cong tac xa hoi, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Cong tac xa hoi.,Cong tac xa hoi
Giao duc,Van,Lanh dao,Kien tri,Van phong,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi Su pham Hoa hoc, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Su pham Hoa hoc.,Su pham Hoa hoc
Cong nghe,Hoa,Can than,Huong ngoai,Linh hoat,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ky thuat xet nghiem y hoc, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat xet nghiem y hoc.,Ky thuat xet nghiem y hoc
Nghe thuat,Toan,Ky luat,Huong ngoai,Linh hoat,Thu nhap cao,"Em co xu huong tap trung vao Em thich lam viec voi Dinh duong, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Dinh duong.,Dinh duong
Kinh doanh,Toan,Giao tiep,Kien nhan,Ky thuat,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Y da khoa, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Y da khoa.",Y da khoa
Phap ly,Anh,Phan tich,Kien tri,Linh hoat,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Quan ly benh vien, de tao gia tri thuc te cho cong viec.",Em dinh huong se Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Ngon ngu,Van,Ky luat,Ti mi,Van phong,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi An ninh mang, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc An ninh mang.",An ninh mang
Nghe thuat,Sinh,Ky luat,Kien tri,Ky thuat,Thu nhap cao,"Em thuong tim hieu them ve Em quan tam lam viec voi Quay phim - Dung phim, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quay phim - Dung phim.,Quay phim - Dung phim
Cong nghe,Tin hoc,Can than,Huong ngoai,Truong hoc,Thu nhap cao,"Em rat quan tam den Em quan tam lam viec voi Ky thuat o to, de tao gia tri thuc te cho cong viec.",Duong dai em mong muon Em muon lam viec trong linh vuc Ky thuat o to.,Ky thuat o to
Kinh doanh,Anh,Phan tich,Kien tri,Ky thuat,Cong hien xa hoi,"Em co xu huong tap trung vao Em thich lam viec voi Ky thuat dien dien tu, nham nang cao co hoi nghe nghiep sau nay.",Duong dai em mong muon Em muon lam viec trong linh vuc Ky thuat dien dien tu.,Ky thuat dien dien tu
Kinh doanh,Anh,Sang tao,Huong ngoai,Ky thuat,Theo dam me,"Ban than em yeu thich Em quan tam lam viec voi Quan ly benh vien, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Y te,Toan,Kien nhan,Ti mi,Van phong,On dinh,"Em rat quan tam den Em quan tam lam viec voi Ky thuat xet nghiem y hoc, nham nang cao co hoi nghe nghiep sau nay.",Em dinh huong se Em muon lam viec trong linh vuc Ky thuat xet nghiem y hoc.,Ky thuat xet nghiem y hoc
Phap ly,Sinh,Can than,Kien nhan,Van phong,Thu nhap cao,"Em thuong tim hieu them ve Em thich lam viec voi Ke toan, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Ke toan.,Ke toan
Giao duc,Tin hoc,Giao tiep,Kien tri,Benh vien,Theo dam me,"Gan day em dau tu thoi gian cho Em thich lam viec voi Rang ham mat, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Rang ham mat.,Rang ham mat
Giao duc,Hoa,Can than,Ban linh,Truong hoc,Khoi nghiep,"Em rat quan tam den Em thich lam viec voi Quay phim - Dung phim, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Quay phim - Dung phim.",Quay phim - Dung phim
Giao duc,Su,Thong ke,Ban linh,Van phong,Theo dam me,"Em co xu huong tap trung vao Em quan tam lam viec voi Khoa hoc moi truong, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Khoa hoc moi truong.,Khoa hoc moi truong
Nghe thuat,Sinh,Kien nhan,Ti mi,Linh hoat,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Ngon ngu Trung, de tao gia tri thuc te cho cong viec.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Ngon ngu Trung.",Ngon ngu Trung
Giao duc,Su,Kien nhan,Huong noi,Benh vien,Theo dam me,"Em thuong tim hieu them ve Em thich lam viec voi Ngon ngu Nhat, de ket hop dam me voi nang luc cua minh.",Duong dai em mong muon Em muon lam viec trong linh vuc Ngon ngu Nhat.,Ngon ngu Nhat
Giao duc,Ly,Can than,Kien nhan,Linh hoat,Khoi nghiep,"Em co xu huong tap trung vao Em thich lam viec voi Nghe thuat so, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc Nghe thuat so.",Nghe thuat so
Du lich,Anh,Sang tao,Huong ngoai,Linh hoat,Theo dam me,"Em rat quan tam den thuyet trinh van hoa lich su di san the gioi, va muon phat trien lau dai.",Em dinh huong se tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Nghe thuat,Hoa,Sang tao,Nang dong,Van phong,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi Luat kinh te, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Luat kinh te.,Luat kinh te
Y te,Tin hoc,Can than,Ti mi,Van phong,Theo dam me,"Em co xu huong tap trung vao Em thich lam viec voi My thuat, nham nang cao co hoi nghe nghiep sau nay.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc My thuat.,My thuat
Giao duc,Ly,Kien nhan,Kien tri,Truong hoc,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Su pham Vat ly, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Su pham Vat ly.,Su pham Vat ly
Y te,Van,Phan tich,Kien nhan,Sang tao,Theo dam me,"Em rat quan tam den Em thich lam viec voi Quan ly benh vien, vi em thay linh vuc nay phu hop tinh cach.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Quan ly benh vien.,Quan ly benh vien
Kinh doanh,Toan,Kien nhan,Ban linh,Truong hoc,Thu nhap cao,"Ban than em yeu thich Em quan tam lam viec voi Tai chinh ngan hang, va muon phat trien lau dai.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Tai chinh ngan hang.,Tai chinh ngan hang
